kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_banjir,jumlah_sampah,cluster,kategori,lat,lon
32,JAWA BARAT,3201,KABUPATEN BOGOR,232,2616309.09,2,Wilayah Risiko Tinggi,-6.59,106.79
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,134,625659.6,0,Wilayah Risiko Rendah,-6.92,106.93
32,JAWA BARAT,3203,KABUPATEN CIANJUR,57,1083007.66,0,Wilayah Risiko Rendah,-6.82,107.14
32,JAWA BARAT,3204,KABUPATEN BANDUNG,237,3504342.02,2,Wilayah Risiko Tinggi,-7.02,107.52
32,JAWA BARAT,3205,KABUPATEN GARUT,95,722017.15,0,Wilayah Risiko Rendah,-7.21,107.9
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,36,888803.05,0,Wilayah Risiko Rendah,-7.35,108.22
32,JAWA BARAT,3207,KABUPATEN CIAMIS,60,287728.38,0,Wilayah Risiko Rendah,-7.33,108.35
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,37,371064.028,0,Wilayah Risiko Rendah,-6.98,108.48
32,JAWA BARAT,3209,KABUPATEN CIREBON,90,975231.16,0,Wilayah Risiko Rendah,-6.73,108.55
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,59,410547.28,0,Wilayah Risiko Rendah,-6.84,108.23
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,94,447433.02999999997,0,Wilayah Risiko Rendah,-6.85,107.92
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,30,1253530.21,0,Wilayah Risiko Rendah,-6.33,108.32
32,JAWA BARAT,3213,KABUPATEN SUBANG,45,755673.83,0,Wilayah Risiko Rendah,-6.57,107.75
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,15,450562.77999999997,0,Wilayah Risiko Rendah,-6.54,107.45
32,JAWA BARAT,3215,KABUPATEN KARAWANG,83,1399423.27,0,Wilayah Risiko Rendah,-6.3,107.3
32,JAWA BARAT,3216,KABUPATEN BEKASI,74,1717856.8800000001,0,Wilayah Risiko Rendah,-6.24,107.0
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,33,1144607.96,0,Wilayah Risiko Rendah,-6.86,107.48
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,31,209448.45,0,Wilayah Risiko Rendah,-7.69,108.65
32,JAWA BARAT,3271,KOTA BOGOR,91,2610593.1999999997,0,Wilayah Risiko Rendah,-6.6,106.8
32,JAWA BARAT,3272,KOTA SUKABUMI,13,811273.68,0,Wilayah Risiko Rendah,-6.91,106.93
32,JAWA BARAT,3273,KOTA BANDUNG,48,6160806.79,1,Wilayah Risiko Sedang,-6.91,107.61
32,JAWA BARAT,3274,KOTA CIREBON,22,840189.89,0,Wilayah Risiko Rendah,-6.71,108.56
32,JAWA BARAT,3275,KOTA BEKASI,56,5635350.12,1,Wilayah Risiko Sedang,-6.24,106.99
32,JAWA BARAT,3276,KOTA DEPOK,20,4592734.66,1,Wilayah Risiko Sedang,-6.4,106.82
32,JAWA BARAT,3277,KOTA CIMAHI,66,1299860.57,0,Wilayah Risiko Rendah,-6.88,107.54
32,JAWA BARAT,3278,KOTA TASIKMALAYA,39,693584.9400000001,0,Wilayah Risiko Rendah,-7.33,108.2
32,JAWA BARAT,3279,KOTA BANJAR,5,314030.36,0,Wilayah Risiko Rendah,-7.37,108.54
