nama_kabupaten_kota,jumlah_banjir,jumlah_sampah,Cluster,Tingkat_Risiko
KABUPATEN BANDUNG,26.333333333333332,389371.33555555553,2,Tinggi
KABUPATEN BANDUNG BARAT,3.6666666666666665,127178.66222222222,0,Rendah
KABUPATEN BEKASI,8.222222222222221,190872.9866666667,0,Rendah
KABUPATEN BOGOR,25.77777777777778,290701.01,2,Tinggi
KABUPATEN CIAMIS,6.666666666666667,31969.82,0,Rendah
KABUPATEN CIANJUR,6.333333333333333,120334.18444444443,0,Rendah
KABUPATEN CIREBON,10.0,108359.01777777779,0,Rendah
KABUPATEN GARUT,10.555555555555555,80224.12777777779,0,Rendah
KABUPATEN INDRAMAYU,3.3333333333333335,139281.13444444444,0,Rendah
KABUPATEN KARAWANG,9.222222222222221,155491.47444444444,0,Rendah
KABUPATEN KUNINGAN,4.111111111111111,41229.336444444445,0,Rendah
KABUPATEN MAJALENGKA,6.555555555555555,45616.36444444445,0,Rendah
KABUPATEN PANGANDARAN,3.4444444444444446,23272.050000000003,0,Rendah
KABUPATEN PURWAKARTA,1.6666666666666667,50062.53111111111,0,Rendah
KABUPATEN SUBANG,5.0,83963.75888888889,0,Rendah
KABUPATEN SUKABUMI,14.88888888888889,69517.73333333334,0,Rendah
KABUPATEN SUMEDANG,10.444444444444445,49714.78111111111,0,Rendah
KABUPATEN TASIKMALAYA,4.0,98755.89444444445,0,Rendah
KOTA BANDUNG,5.333333333333333,684534.0877777778,1,Sedang
KOTA BANJAR,0.5555555555555556,34892.26222222222,0,Rendah
KOTA BEKASI,6.222222222222222,626150.0133333333,1,Sedang
KOTA BOGOR,10.11111111111111,290065.91111111105,0,Rendah
KOTA CIMAHI,7.333333333333333,144428.95222222223,0,Rendah
KOTA CIREBON,2.4444444444444446,93354.43222222223,0,Rendah
KOTA DEPOK,2.2222222222222223,510303.8511111111,1,Sedang
KOTA SUKABUMI,1.4444444444444444,90141.52,0,Rendah
KOTA TASIKMALAYA,4.333333333333333,77064.99333333335,0,Rendah
